StageName,InputFile,OutputFile
Face Tracking,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/track/output/1.mp4_faceTracks.csv

Frame number,Shot number,Face id,x_min,y_min,x_max,y_max
131,2,5,148.0,108.0,212.0,183.0
132,2,5,148.0,108.0,212.0,183.0
133,2,5,148.0,108.0,212.0,183.0
134,2,5,149.0,108.0,213.0,183.0
135,2,5,149.0,108.0,213.0,183.0
136,2,5,149.0,108.0,213.0,183.0
137,2,5,149.0,108.0,213.0,183.0
138,2,5,149.0,108.0,213.0,183.0
139,2,5,149.0,109.0,213.0,184.0
140,2,5,150.0,108.0,214.0,183.0
141,2,5,150.0,109.0,214.0,184.0
142,2,5,150.0,108.0,214.0,183.0
143,2,5,151.0,109.0,215.0,184.0
144,2,5,151.0,109.0,215.0,184.0
145,2,5,151.0,109.0,215.0,184.0
146,2,5,151.0,109.0,215.0,184.0
147,2,5,151.0,109.0,215.0,184.0
148,2,5,152.0,109.0,216.0,184.0
149,2,5,152.0,109.0,216.0,184.0
150,2,5,152.0,109.0,216.0,184.0
50,2,6,1127,66,1177,140
51,2,6,1127.0,66.0,1178.0,141.0
52,2,6,1127.0,66.0,1178.0,141.0
53,2,6,1126.0,66.0,1177.0,141.0
54,2,6,1127.0,66.0,1178.0,141.0
55,2,6,1126.0,66.0,1177.0,141.0
56,2,6,1126.0,66.0,1177.0,141.0
57,2,6,1126.0,66.0,1177.0,141.0
58,2,6,1126.0,65.0,1177.0,140.0
59,2,6,1125.0,64.0,1176.0,139.0
60,2,6,1124.0,65.0,1175.0,140.0
61,2,6,1125.0,64.0,1176.0,139.0
62,2,6,1124.0,65.0,1175.0,140.0
63,2,6,1124.0,64.0,1175.0,139.0
64,2,6,1124.0,65.0,1175.0,140.0
65,2,6,1124.0,64.0,1175.0,139.0
66,2,6,1124.0,65.0,1175.0,140.0
67,2,6,1124.0,64.0,1175.0,139.0
68,2,6,1124.0,65.0,1175.0,140.0
69,2,6,1124.0,64.0,1175.0,139.0
70,2,6,1124.0,65.0,1175.0,140.0
71,2,6,1124.0,64.0,1175.0,139.0
72,2,6,1124.0,65.0,1175.0,140.0
73,2,6,1124.0,64.0,1175.0,139.0
74,2,6,1124.0,64.0,1175.0,139.0
75,2,6,1124.0,64.0,1175.0,139.0
76,2,6,1124.0,64.0,1175.0,139.0
77,2,6,1124.0,64.0,1175.0,139.0
78,2,6,1124.0,64.0,1175.0,139.0
79,2,6,1124.0,64.0,1175.0,139.0
80,2,6,1124.0,64.0,1175.0,139.0
81,2,6,1124.0,64.0,1175.0,139.0
82,2,6,1124.0,64.0,1175.0,139.0
83,2,6,1124.0,64.0,1175.0,139.0
84,2,6,1124.0,64.0,1175.0,139.0
85,2,6,1124.0,64.0,1175.0,139.0
86,2,6,1124.0,64.0,1175.0,139.0
87,2,6,1124.0,64.0,1175.0,139.0
88,2,6,1124.0,64.0,1175.0,139.0
89,2,6,1124.0,64.0,1175.0,139.0
90,2,6,1124.0,64.0,1175.0,139.0
91,2,6,1124.0,64.0,1175.0,139.0
92,2,6,1124.0,64.0,1175.0,139.0
93,2,6,1124.0,64.0,1175.0,139.0
94,2,6,1124.0,64.0,1175.0,139.0
95,2,6,1124.0,64.0,1175.0,139.0
96,2,6,1124.0,63.0,1175.0,138.0
97,2,6,1124.0,62.0,1175.0,137.0
98,2,6,1124.0,63.0,1175.0,138.0
99,2,6,1124.0,62.0,1175.0,137.0
100,2,6,1124.0,63.0,1175.0,138.0
101,2,6,1125.0,62.0,1176.0,137.0
102,2,6,1124.0,63.0,1175.0,138.0
103,2,6,1125.0,62.0,1176.0,137.0
104,2,6,1124.0,63.0,1175.0,138.0
105,2,6,1125.0,62.0,1176.0,137.0
106,2,6,1124.0,63.0,1175.0,138.0
107,2,6,1125.0,62.0,1176.0,137.0
108,2,6,1124.0,63.0,1175.0,138.0
109,2,6,1125.0,62.0,1176.0,137.0
110,2,6,1125.0,63.0,1176.0,138.0
111,2,6,1125.0,62.0,1176.0,137.0
112,2,6,1125.0,63.0,1176.0,138.0
113,2,6,1125.0,62.0,1176.0,137.0
114,2,6,1125.0,63.0,1176.0,138.0
115,2,6,1125.0,62.0,1176.0,137.0
116,2,6,1125.0,63.0,1176.0,138.0
117,2,6,1125.0,62.0,1176.0,137.0
118,2,6,1125.0,63.0,1176.0,138.0
119,2,6,1125.0,62.0,1176.0,137.0
120,2,6,1126.0,63.0,1177.0,138.0
121,2,6,1127.0,62.0,1178.0,137.0
122,2,6,1126.0,63.0,1177.0,138.0
123,2,6,1127.0,62.0,1178.0,137.0
124,2,6,1126.0,63.0,1177.0,138.0
125,2,6,1127.0,62.0,1178.0,137.0
126,2,6,1126.0,63.0,1177.0,138.0
127,2,6,1127.0,62.0,1178.0,137.0
128,2,6,1126.0,63.0,1177.0,138.0
129,2,6,1127.0,62.0,1178.0,137.0
130,2,6,1127.0,63.0,1178.0,138.0
131,2,6,1127.0,62.0,1178.0,137.0
132,2,6,1127.0,63.0,1178.0,138.0
133,2,6,1127.0,62.0,1178.0,137.0
134,2,6,1127.0,63.0,1178.0,138.0
135,2,6,1127.0,62.0,1178.0,137.0
136,2,6,1127.0,63.0,1178.0,138.0
137,2,6,1127.0,63.0,1178.0,138.0
138,2,6,1127.0,63.0,1178.0,138.0
139,2,6,1127.0,63.0,1178.0,138.0
140,2,6,1128.0,63.0,1179.0,138.0
141,2,6,1129.0,63.0,1180.0,138.0
142,2,6,1128.0,63.0,1179.0,138.0
143,2,6,1129.0,63.0,1180.0,138.0
144,2,6,1128.0,63.0,1179.0,138.0
145,2,6,1129.0,63.0,1180.0,138.0
146,2,6,1128.0,63.0,1179.0,138.0
147,2,6,1129.0,63.0,1180.0,138.0
148,2,6,1128.0,63.0,1179.0,138.0
149,2,6,1129.0,63.0,1180.0,138.0
150,2,6,1128.0,63.0,1179.0,138.0
50,2,7,75,102,126,167
51,2,7,75.0,102.0,127.0,168.0
52,2,7,75.0,102.0,127.0,168.0
53,2,7,74.0,102.0,126.0,168.0
54,2,7,74.0,102.0,126.0,168.0
55,2,7,73.0,102.0,125.0,168.0
56,2,7,73.0,102.0,125.0,168.0
57,2,7,73.0,102.0,125.0,168.0
58,2,7,72.0,102.0,124.0,168.0
59,2,7,72.0,102.0,124.0,168.0
60,2,7,72.0,101.0,124.0,167.0
61,2,7,72.0,101.0,124.0,167.0
62,2,7,72.0,101.0,124.0,167.0
63,2,7,71.0,101.0,123.0,167.0
64,2,7,71.0,101.0,123.0,167.0
65,2,7,71.0,101.0,123.0,167.0
66,2,7,71.0,101.0,123.0,167.0
67,2,7,71.0,101.0,123.0,167.0
68,2,7,71.0,101.0,123.0,167.0
69,2,7,71.0,101.0,123.0,167.0
70,2,7,71.0,101.0,123.0,167.0
71,2,7,71.0,101.0,123.0,167.0
72,2,7,71.0,101.0,123.0,167.0
73,2,7,71.0,101.0,123.0,167.0
74,2,7,71.0,101.0,123.0,167.0
75,2,7,70.0,101.0,122.0,167.0
76,2,7,70.0,101.0,122.0,167.0
77,2,7,70.0,101.0,122.0,167.0
